140222434123824	20	2	14	16
140222435172400	20	2	2	4
140222435696688	20	2	18	20
140222434123872	40	4	15	19
140222435172448	20	2	13	15
140222435696736	40	4	21	25
140222434123920	40	4	16	20
140222435172496	20	2	2	4
140222435696784	40	4	21	25
140222434123968	40	4	6	10
140222435172544	40	4	2	6
140222435696832	20	2	13	15
140222434124016	40	4	3	7
140222435172592	40	4	9	13
140222435696880	40	4	10	14
140222434124064	20	2	11	13
140222435172640	40	4	21	25
140222435696928	40	4	10	14
140222434124112	20	2	5	7
140222435172688	40	4	3	7
140222435696976	20	2	1	3
140222434124160	40	4	8	12
140222435172736	20	2	16	18
140222435697024	40	4	2	6
140222434124208	20	2	10	12
140222435172784	20	2	18	20
140222435697072	20	2	8	10
140222434124256	20	2	1	3
140222435172832	20	2	1	3
140222435697120	20	2	12	14
140222434124304	40	4	10	14
140222435172880	40	4	20	24
140222435697168	20	2	12	14
140222434124352	20	2	8	10
140222435172928	20	2	3	5
140222435697216	40	4	0	4
140222435172976	20	2	11	13
140222434124400	40	4	21	25
140222435697264	40	4	18	22
140222435173024	20	2	8	10
140222434124448	40	4	9	13
140222435697312	40	4	10	14
140222434124496	20	2	10	12
140222435173072	20	2	18	20
140222435697360	40	4	2	6
140222434124544	20	2	18	20
140222435173120	20	2	16	18
140222435697408	20	2	12	14
140222434124592	40	4	5	9
140222435173168	40	4	12	16
140222435697456	20	2	1	3
140222435173216	40	4	7	11
140222434124640	40	4	20	24
140222435697504	20	2	11	13
140222435173264	20	2	12	14
140222434124688	20	2	12	14
140222435697552	20	2	15	17
140222434124736	20	2	5	7
140222435173312	40	4	18	22
140222435697600	40	4	7	11
140222434124784	40	4	17	21
140222435173360	20	2	9	11
140222435697648	20	2	3	5
140222434124832	20	2	16	18
140222435173408	20	2	11	13
140222435697696	40	4	8	12
140222434124880	20	2	16	18
140222435173456	40	4	10	14
140222435697744	40	4	20	24
140222434124928	40	4	12	16
140222435173504	40	4	5	9
140222435697792	20	2	5	7
140222434124976	40	4	19	23
140222435173552	40	4	21	25
140222435697840	40	4	11	15
140222434125024	40	4	16	20
140222435173600	20	2	15	17
140222435697888	20	2	4	6
140222434125072	40	4	14	18
140222435173648	40	4	7	11
140222435697936	40	4	3	7
140222434125120	20	2	2	4
140222435173696	40	4	18	22
140222435697984	40	4	12	16
140222434125168	40	4	7	11
140222435173744	40	4	15	19
140222435698032	20	2	5	7
140222434125216	20	2	15	17
140222435173792	40	4	1	5
140222435698080	20	2	19	21
140222434125264	40	4	15	19
140222435173840	40	4	19	23
140222435698128	20	2	9	11
140222434125312	40	4	5	9
140222435173888	40	4	18	22
140222435698176	20	2	5	7
140222434125360	40	4	5	9
140222435173936	20	2	7	9
140222435698224	40	4	15	19
140222434125408	20	2	12	14
140222435173984	20	2	13	15
140222435698272	20	2	6	8
140222434125456	40	4	3	7
140222435174032	40	4	18	22
140222435698320	40	4	18	22
140222434125504	20	2	0	2
140222435174080	40	4	12	16
140222435698368	20	2	9	11
140222434125552	40	4	0	4
140222435174128	20	2	12	14
140222435698416	20	2	9	11
140222434125600	40	4	12	16
140222435174176	40	4	17	21
140222435698464	20	2	17	19
140222434125648	20	2	18	20
140222435174224	20	2	19	21
140222435698512	20	2	2	4
140222434125696	40	4	18	22
140222435174272	20	2	19	21
140222435698560	20	2	0	2
140222434125744	40	4	8	12
140222435174320	40	4	0	4
140222435698608	40	4	8	12
140222434125792	40	4	19	23
140222435174368	20	2	1	3
140222435698656	20	2	0	2
140222434125840	20	2	7	9
140222435174416	20	2	0	2
140222435698704	40	4	13	17
140222434125888	20	2	19	21
140222435174464	40	4	5	9
140222435698752	40	4	16	20
140222434125936	20	2	7	9
140222435174512	20	2	10	12
140222435698800	20	2	8	10
140222434125984	20	2	14	16
140222435174560	40	4	11	15
140222435698848	20	2	0	2
140222434126032	40	4	2	6
140222435174608	20	2	17	19
140222435698896	40	4	0	4
140222434126080	40	4	1	5
140222435174656	20	2	10	12
140222435698944	40	4	3	7
140222434126128	20	2	15	17
140222435174704	40	4	19	23
140222435698992	40	4	2	6
140222434126176	40	4	6	10
140222435174752	40	4	7	11
140222435699040	20	2	9	11
140222434126224	40	4	3	7
140222435174800	20	2	9	11
140222435699088	20	2	5	7
140222434126272	40	4	7	11
140222435174848	20	2	17	19
140222435699136	40	4	4	8
140222434126320	40	4	12	16
140222435174896	20	2	1	3
140222435699184	40	4	12	16
140222434126368	20	2	19	21
140222435174944	40	4	9	13
140222435699232	20	2	17	19
140222434126416	20	2	9	11
140222435174992	40	4	21	25
140222435699280	20	2	6	8
140222434126464	40	4	15	19
140222435175040	40	4	5	9
140222435699328	40	4	19	23
140222434126512	40	4	8	12
140222435175088	20	2	4	6
140222435699376	20	2	15	17
140222434126560	20	2	18	20
140222435175136	40	4	6	10
140222435699424	40	4	21	25
140222434126608	20	2	16	18
140222435175184	20	2	5	7
140222435699472	20	2	10	12
140222434126656	20	2	15	17
140222435175232	20	2	14	16
140222435699520	20	2	19	21
140222434126704	20	2	13	15
140222435175280	40	4	1	5
140222435699568	20	2	12	14
140222434126752	20	2	18	20
140222435175328	20	2	9	11
140222435699616	40	4	5	9
140222434126800	20	2	12	14
140222435175376	20	2	14	16
140222435699664	20	2	7	9
140222434126848	20	2	7	9
140222435175424	20	2	11	13
140222435699712	40	4	14	18
140222434126896	40	4	12	16
140222435175472	20	2	1	3
140222435699760	20	2	9	11
140222434126944	20	2	7	9
140222435175520	20	2	5	7
140222435699808	40	4	4	8
140222434126992	40	4	2	6
140222435175568	40	4	16	20
140222435699856	20	2	19	21
140222434127040	20	2	13	15
140222435175616	20	2	12	14
140222435699904	20	2	4	6
140222434127088	20	2	4	6
140222435175664	40	4	1	5
