4553572544	20	2	0
4553572256	40	4	9
4553571392	40	4	10
4553572320	40	4	17
4553573312	40	4	12
4553574048	20	2	15
4553572128	40	4	16
4553573760	20	2	5
4553573120	20	2	15
4553571008	40	4	12
4553571776	40	4	18
4553571072	40	4	15
4553571232	20	2	5
4553572512	20	2	12
4553573664	40	4	19
4553572640	40	4	19
4553572928	40	4	6
4553571680	40	4	6
4553571200	40	4	20
4553574176	40	4	17
4553572416	40	4	21
4553573408	20	2	19
4553572544	20	2	5
4553572864	20	2	14
4553571456	40	4	15
4553572160	20	2	10
4553572128	40	4	18
4553573248	20	2	19
4553571808	20	2	3
4553573568	40	4	10
4553572000	40	4	15
4553573696	40	4	8
4553572672	20	2	10
4553571712	20	2	3
4553572768	40	4	20
4553571680	20	2	7
4553573472	20	2	7
4553572960	20	2	3
4553571520	40	4	12
4553574016	40	4	5
4553572832	20	2	11
4553573792	20	2	0
4553572128	40	4	19
4553571200	40	4	14
4553572608	20	2	13
4553572736	40	4	6
4553573312	40	4	17
4553572064	40	4	2
4553573216	20	2	10
4553571008	20	2	17
4553572704	40	4	17
4553573888	40	4	16
4553573504	40	4	7
4553573664	20	2	5
4553571296	40	4	4
4553573824	40	4	1
4553573120	40	4	21
4553573440	40	4	13
4553571584	40	4	13
4553572352	40	4	6
4553571616	20	2	5
4553572800	40	4	6
4553572416	20	2	13
4553572640	40	4	6
4553573536	20	2	15
4553571552	20	2	7
4553571936	40	4	8
4553572576	40	4	9
4553573472	40	4	14
4553573856	40	4	14
4553573696	20	2	0
4553572448	40	4	11
4553573536	20	2	7
4553572608	20	2	14
4553572704	20	2	13
4553573184	20	2	5
4553573184	40	4	21
4553571232	20	2	8
4553573472	40	4	8
4553573920	40	4	5
4553573568	20	2	11
4553574048	20	2	19
4553571552	20	2	2
4553573984	20	2	4
4553571936	20	2	4
4553573408	40	4	6
4553571712	40	4	7
4553572544	20	2	19
4553571296	20	2	7
4553571648	40	4	17
4553571456	40	4	16
4553571808	20	2	1
4553572640	20	2	5
4553571232	40	4	11
4553573408	40	4	14
4553574016	20	2	1
4553572288	20	2	11
4553571808	20	2	19
4553571520	40	4	16
4553573408	40	4	0
